Timestamp,X,Y,Z
0.011,-0.8786621,-3.6056976,9.143753
0.032,-0.8140106,-2.717453,10.94899
0.053,-1.6699371,-2.4696503,11.496063
0.075,-1.9225311,-2.816803,10.082291
0.096,-2.6898804,-2.6432343,8.942642
0.118,-2.6898804,-2.6432343,8.942642
0.138,-1.7369843,-3.7361755,7.1493835
0.159,-1.7369843,-3.7361755,7.1493835
0.18,-5.945984,-2.2817078,6.071991
0.201,-6.704956,-1.7226562,6.380844
0.222,-5.2708282,-1.8028717,6.957855
0.244,-4.03302,-1.6280823,5.9463043
0.265,-2.973587,-2.6767426,6.3221893
0.286,-2.973587,-2.6767426,6.3221893
0.307,-10.427933,-3.0394745,2.3633728
0.328,-10.427933,-3.0394745,2.3633728
0.348,-11.025284,-3.81279,3.170227
0.369,-10.174149,-3.4069824,3.6706085
0.39,-8.712494,-3.179535,1.2476807
0.411,-8.712494,-3.179535,1.2476807
0.432,-8.433563,-4.0354614,1.5002747
0.453,-8.155838,-4.4783783,5.402817
0.474,-8.213303,-3.9612427,4.051285
0.497,-8.079224,-3.2142487,3.2049408
0.517,-5.5281982,-3.5985107,2.8350372
0.538,-3.0753326,-4.6890717,5.13945
0.559,-3.5565796,-5.5138702,5.426758
0.58,-3.5565796,-5.5138702,5.426758
0.601,-10.18013,-4.772873,1.7037811
0.622,-10.18013,-4.772873,1.7037811
0.643,-13.561935,-5.7401276,-1.6469116
0.664,-10.992966,-6.879776,-6.622055
0.684,-8.032532,-8.0242,-0.9095001
0.705,-8.032532,-8.0242,-0.9095001
0.726,-8.032532,-8.0242,-0.9095001
0.748,-9.312241,-8.696976,-1.6313477
0.769,-8.534119,-7.1874237,-3.7334595
0.791,-7.0940094,-7.0090637,-1.8959045
0.812,-7.1742096,-6.615204,-2.1760254
0.833,-7.1742096,-6.615204,-2.1760254
0.854,-6.827057,-6.319519,-1.4841003
0.874,-6.827057,-6.319519,-1.4841003
0.895,-7.439972,-6.5613403,-1.6385345
0.916,-7.21492,-5.665909,-2.3256683
0.937,-7.0305634,-6.1698914,-1.9713287
0.958,-7.0305634,-6.1698914,-1.9713287
0.979,-6.3625793,-6.793579,-1.565506
1.0,-6.6283417,-6.491913,-1.5726929
1.021,-6.6283417,-6.491913,-1.5726929
1.042,-6.469116,-5.8897705,-4.178772
1.062,-6.50383,-5.742523,-3.213913
1.083,-6.3913116,-5.871811,-3.4653015
1.104,-6.645096,-5.203827,-3.28096
1.127,-6.538559,-4.70224,-3.1289215
1.147,-6.538559,-4.70224,-3.1289215
1.168,-6.1650543,-4.4951477,-3.107376
1.189,-5.396515,-4.390991,-3.9345703
1.21,-4.9763336,-4.223404,-3.8795013
1.231,-5.7185364,-4.2736816,-4.537903
1.251,-6.229706,-4.1156616,-4.9700623
1.272,-6.229706,-4.1156616,-4.9700623
1.293,-5.722122,-4.001938,-5.4022217
1.314,-5.8574066,-4.3562775,-5.2525787
1.335,-5.8574066,-4.3562775,-5.2525787
1.356,-6.4942627,-4.8111725,-5.964859
1.377,-7.7296753,-4.6363983,-7.060196
1.398,-8.147461,-4.5418243,-7.3822174
1.418,-8.147461,-4.5418243,-7.3822174
1.439,-7.4770813,-5.0757446,-6.8207855
1.46,-7.613556,-5.973572,-7.432495
1.481,-9.068024,-6.8294983,-8.299194
1.501,-10.3237915,-7.3370667,-7.559387
1.522,-9.443909,-7.4076843,-9.182663
1.543,-9.443909,-7.4076843,-9.182663
1.564,-0.9875946,-7.0162354,0.40252686
1.585,-3.4141235,-7.049759,1.1471252
1.605,-8.174988,-5.251709,2.52977
1.626,-8.177383,-5.363037,2.8398285
1.647,-8.366531,-5.2409363,0.61920166
